id,createTime,endTime,state,type
90654986,2026-08-07 07:59:59.152000,2026-08-07 08:01:27.136000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
90638301,2026-08-07 06:35:55.730000,2026-08-07 06:37:10.271000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
90623428,2026-08-07 05:19:55.334000,2026-08-07 05:21:32.749000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
90587174,2026-08-07 02:15:49.660000,2026-08-07 02:17:04.594000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
90585618,2026-08-07 02:07:49.853000,2026-08-07 02:08:46.568000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
90552118,2026-08-06 23:13:38.636000,2026-08-06 23:15:00.379000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
90534375,2026-08-06 21:41:27.713000,2026-08-06 21:42:44.200000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
90503664,2026-08-06 18:57:49.639000,2026-08-06 18:59:13.332000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
90499130,2026-08-06 18:33:47.586000,2026-08-06 18:35:07.906000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
90476875,2026-08-06 16:34:33.743000,2026-08-06 16:35:58.619000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
90476067,2026-08-06 16:26:48.229000,2026-08-06 16:28:18.095000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
90475294,2026-08-06 16:22:48.951000,2026-08-06 16:24:03.242000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
90474536,2026-08-06 16:18:48.326000,2026-08-06 16:21:33.841000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
90473768,2026-08-06 16:14:48.806000,2026-08-06 16:16:09.379000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
90472983,2026-08-06 16:10:49.842000,2026-08-06 16:12:08.121000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
90472181,2026-08-06 16:06:47.194000,2026-08-06 16:07:51.655000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
90471086,2026-08-06 15:51:12.981000,2026-08-06 15:52:24.693000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
90470790,2026-08-06 15:46:47.259000,2026-08-06 15:48:06.569000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
90470016,2026-08-06 15:42:46.106000,2026-08-06 15:44:04.461000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
90469235,2026-08-06 15:38:16.434000,2026-08-06 15:39:49.681000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
90468456,2026-08-06 15:34:21.499000,2026-08-06 15:35:39.143000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
90468450,2026-08-06 15:34:21.493000,2026-08-06 15:35:36.119000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
90467901,2026-08-06 15:32:19.522000,2026-08-06 15:33:18.961000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_VALIDATION

Use "kaggle competitions replay <episode_id>" to download a replay, or "kaggle competitions logs <episode_id> <agent_index>" for agent logs.
