id,createTime,endTime,state,type
91578696,2026-08-10 07:28:11.005000,2026-08-10 07:29:29.558000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91576806,2026-08-10 07:20:10.682000,2026-08-10 07:21:39.795000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91545738,2026-08-10 05:04:11.277000,2026-08-10 05:05:42.106000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91541080,2026-08-10 04:44:11.020000,2026-08-10 04:45:35.668000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91524705,2026-08-10 03:32:13.890000,2026-08-10 03:33:22.039000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91523898,2026-08-10 03:28:14.123000,2026-08-10 03:29:18.850000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91495242,2026-08-10 01:24:11.354000,2026-08-10 01:25:39.317000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91476075,2026-08-10 00:00:11.423000,2026-08-10 00:01:05.244000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91475157,2026-08-09 23:56:12.104000,2026-08-09 23:57:10.116000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91474245,2026-08-09 23:52:14.306000,2026-08-09 23:53:14.375000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91473332,2026-08-09 23:48:11.378000,2026-08-09 23:49:30.906000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91472424,2026-08-09 23:44:11.632000,2026-08-09 23:45:14.974000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91471514,2026-08-09 23:40:11.471000,2026-08-09 23:41:34.409000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91470602,2026-08-09 23:36:11.822000,2026-08-09 23:37:40.577000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91469687,2026-08-09 23:32:16.320000,2026-08-09 23:33:16.618000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91468770,2026-08-09 23:28:13.286000,2026-08-09 23:29:09.464000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91467868,2026-08-09 23:24:12.335000,2026-08-09 23:25:31.505000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91466945,2026-08-09 23:20:11.206000,2026-08-09 23:21:33.259000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91466041,2026-08-09 23:16:11.335000,2026-08-09 23:17:27.556000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91465126,2026-08-09 23:12:12.642000,2026-08-09 23:13:41.524000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91464214,2026-08-09 23:08:11.426000,2026-08-09 23:09:13.499000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91463311,2026-08-09 23:04:11.511000,2026-08-09 23:05:10.770000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91462406,2026-08-09 23:00:11.317000,2026-08-09 23:01:30.540000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91461492,2026-08-09 22:56:11.417000,2026-08-09 22:57:11.457000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91460581,2026-08-09 22:52:12.943000,2026-08-09 22:53:30.909000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91459670,2026-08-09 22:48:10.933000,2026-08-09 22:49:16.065000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91458742,2026-08-09 22:44:11.146000,2026-08-09 22:45:40.150000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91457841,2026-08-09 22:40:11.339000,2026-08-09 22:41:18.581000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91456941,2026-08-09 22:36:10.883000,2026-08-09 22:37:28.108000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91456021,2026-08-09 22:32:12.077000,2026-08-09 22:33:22.829000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91455107,2026-08-09 22:28:11.180000,2026-08-09 22:29:27.813000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91454209,2026-08-09 22:24:11.434000,2026-08-09 22:25:02.714000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91453312,2026-08-09 22:20:11.304000,2026-08-09 22:21:31.290000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC
91452786,2026-08-09 22:17:50.192000,2026-08-09 22:19:01.739000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_VALIDATION

Use "kaggle competitions replay <episode_id>" to download a replay, or "kaggle competitions logs <episode_id> <agent_index>" for agent logs.
