episode_id,agent_index,submission_id,team_id,final_bank,rating_after
89004648,0,55115318,16621290,4127,600
89004648,1,55115318,16621290,4127,600
89004697,0,55115362,16621153,6296,600
89004697,1,55115362,16621153,6894,600
89005098,0,55115367,16621153,664,600
89005098,1,55115367,16621153,470,600
89005103,0,55115388,16621402,27698,600
89005103,1,55115388,16621402,27698,600
89005559,0,55115495,16621519,2300,600
89005559,1,55115495,16621519,2300,600
89005564,0,55115536,16621515,23794,600
89005564,1,55115536,16621515,23794,600
89006005,0,55115495,16621519,2300,509.63939629899136
89006005,1,55115318,16621290,3846,690.3606037010086
89006016,0,55115608,16621168,40969,600
89006016,1,55115608,16621168,41521,600
89006021,0,55115641,16621519,2300,600
89006021,1,55115641,16621519,2300,600
89006464,0,55115608,16621168,28157,690.3606037010086
89006464,1,55115362,16621153,17093,509.63939629899136
89006465,0,55115733,16621519,2423,600
89006465,1,55115733,16621519,1579,600
89006909,0,55115733,16621519,44,509.63939629899136
89006909,1,55115367,16621153,419,690.3606037010086
89006914,0,55115818,16621163,27932,600
89006914,1,55115818,16621163,27932,600
89006916,0,55115827,16621290,3514,600
89006916,1,55115827,16621290,3447,600
89007360,0,55115536,16621515,20404,509.63939629899136
89007360,1,55115388,16621402,38514,690.3606037010086
89007361,0,55115877,16621367,20469,600
89007361,1,55115877,16621367,22081,600
89007807,0,55115641,16621519,2300,509.63939629899136
89007807,1,55115877,16621367,21662,690.3606037010086
89007813,0,55115974,16621153,6517,600
89007813,1,55115974,16621153,7058,600
89007853,0,55116010,16621168,30641,600
89007853,1,55116010,16621168,31848,600
89008254,0,55115536,16621515,21529,446.2266859339308
89008254,1,55115818,16621163,32455,674.112736730531
89008697,0,55115827,16621290,4625,509.63939629899136
89008697,1,55116010,16621168,29182,690.3606037010086
89008699,0,55116096,16621716,6952,600
89008699,1,55116096,16621716,12894,600
89009154,0,55115974,16621153,17545,525.887263269469
89009154,1,55115608,16621168,27602,753.7733140660691
89009207,0,55116223,16622032,27698,600
89009207,1,55116223,16622032,27698,600
89009657,0,55115827,16621290,4961,446.2266859339308
89009657,1,55116096,16621716,12970,674.112736730531
89010550,0,55115827,16621290,5616,400.60426172949036
89010550,1,55116223,16622032,48979,663.1452238123743
89010551,0,55116457,16621770,200,600
89010551,1,55116457,16621770,200,600
89010553,0,55116475,16621367,30528,600
89010553,1,55116475,16621367,28132,600
89010999,0,55116523,16621294,37371,600
89010999,1,55116523,16621294,37371,600
89011010,0,55116580,16621355,73156,600
89011010,1,55116580,16621355,77048,600
89011450,0,55115388,16621402,49111,753.7733140660691
89011450,1,55116457,16621770,50,525.887263269469
89011451,0,55116607,16622097,3000,600
89011451,1,55116607,16622097,3000,600
89011452,0,55116608,16622251,3000,600
89011452,1,55116608,16622251,3000,600
89011459,0,55116669,16621515,29252,600
89011459,1,55116669,16621515,29041,600
89011460,0,55116676,16621770,3000,600
89011460,1,55116676,16621770,3000,600
89011899,0,55116475,16621367,19696,525.887263269469
89011899,1,55116285,16621355,102791,753.7733140660691
89011900,0,55116691,16621802,37622,600
89011900,1,55116691,16621802,39056,600
89011902,0,55116715,16622097,3000,600
89011902,1,55116715,16622097,3000,600
89012344,0,55116580,16621355,100643,690.3606037010086
89012344,1,55116523,16621294,25824,509.63939629899136
89012350,0,55116804,16621355,73156,600
89012350,1,55116804,16621355,77048,600
89012792,0,55115318,16621290,3784,753.7733140660691
89012792,1,55116607,16622097,3000,525.887263269469
89012835,0,55116892,16622097,3321,600
89012835,1,55116892,16622097,3321,600
89013236,0,55116010,16621168,35388,753.7733140660691
89013236,1,55116608,16622251,3000,525.887263269469
89013246,0,55116962,16621811,3361,600
89013246,1,55116962,16621811,3361,600
89013685,0,55116669,16621515,45802,677.2854196225901
89013685,1,55116608,16622251,3000,459.75992610489044
89014127,0,55116676,16621770,3000,509.63939629899136
89014127,1,55116962,16621811,3384,690.3606037010086
89014129,0,55117088,16622312,5418,600
89014129,1,55117088,16622312,2405,600
89014132,0,55117099,16621515,29252,600
89014132,1,55117099,16621515,29041,600
89014574,0,55116457,16621770,200,459.75992610489044
89014574,1,55116691,16621802,66787,677.2854196225901
89015023,0,55116715,16622097,3000,509.63939629899136
89015023,1,55116804,16621355,119070,690.3606037010086
89015463,0,55116892,16622097,3348,712.6601182087786
89015463,1,55115367,16621153,706,593.9657900586224
89015468,0,55117263,16621515,29252,600
89015468,1,55117263,16621515,29041,600
89015470,0,55117274,16621811,3361,600
89015470,1,55117274,16621811,3361,600
89015471,0,55117284,16622422,6247,600
89015471,1,55117284,16622422,6247,600
89015472,0,55117304,16622420,5657,600
89015472,1,55117304,16622420,5657,600
89015911,0,55115318,16621290,3994,817.1211438781028
89015911,1,55116892,16622097,3346,637.6400671597526
89015912,0,55117334,16622420,5800,600
89015912,1,55117334,16622420,5768,600
89015915,0,55117347,16622198,37443,600
89015915,1,55117347,16622198,37985,600
89016359,0,55117395,16621153,6728,600
89016359,1,55117395,16621153,7403,600
89016360,0,55117088,16622312,1584,525.887263269469
89016360,1,55116580,16621355,108623,753.7733140660691
89016361,0,55117347,16622198,37999,690.3606037010086
89016361,1,55117099,16621515,32970,509.63939629899136
89016375,0,55117461,16622487,4102,600
89016375,1,55117461,16622487,3717,600
89016817,0,55117274,16621811,3375,487.3398817912213
89016817,1,55117304,16622420,6570,606.0342099413776
89016818,0,55117263,16621515,46830,690.3606037010086
89016818,1,55117304,16622420,6501,509.63939629899136
89016824,0,55117529,16622319,26561,600
89016824,1,55117529,16622319,27065,600
89017266,0,55117334,16622420,5831,522.7145803774099
89017266,1,55116096,16621716,10263,740.2400738951096
89017267,0,55117529,16622319,35811,690.3606037010086
89017267,1,55117284,16622422,6101,509.63939629899136
89017268,0,55117565,16621523,15706,600
89017268,1,55117565,16621523,15706,600
89017279,0,55117599,16622487,6062,600
89017279,1,55117599,16622487,6791,600
89017721,0,55117395,16621153,16548,522.7145803774099
89017721,1,55115818,16621163,20519,740.2400738951096
89017722,0,55115641,16621519,2300,446.2266859339308
89017722,1,55117461,16622487,8969,674.112736730531
89017723,0,55117565,16621523,43069,807.348899430378
89017723,1,55115877,16621367,16255,688.4627432018668
89017724,0,55116962,16621811,3334,593.9657900586224
89017724,1,55117565,16621523,51705,712.6601182087786
89017725,0,55117599,16622487,7832,663.1452238123743
89017725,1,55115641,16621519,2300,400.60426172949036
89017726,0,55117304,16622420,6381,549.5403765071769
89017726,1,55116804,16621355,105582,757.2637680361477
89017727,0,55115877,16621367,20407,768.4190843941012
89017727,1,55117461,16622487,10089,596.0542560374383
89018168,0,55117347,16622198,42702,824.6353635450987
89018168,1,55116096,16621716,12129,631.1979811837507
89018169,0,55115818,16621163,28857,661.3374848741871
89018169,1,55117263,16621515,30058,783.8014725328796
89018170,0,55117529,16622319,36130,742.2692387431704
89018170,1,55117334,16622420,6483,470.8059453352481
89018171,0,55116096,16621716,11324,679.8229193088387
89018171,1,55117565,16621523,33778,867.7660540166489
89018172,0,55116223,16622032,48674,733.2341632413386
89018172,1,55117461,16622487,7871,536.8703159498688
89018173,0,55116892,16622097,3298,574.053123313082
89018173,1,55116691,16621802,64787,752.5886429150573
89018174,0,55117599,16622487,7166,587.1472181356634
89018174,1,55117347,16622198,44419,766.3586093777195
89018622,0,55117529,16622319,21143,642.280451852663
89018622,1,55116804,16621355,108122,869.5697562199033
89018623,0,55115388,16621402,36903,874.6531923801015
89018623,1,55117529,16622319,23174,683.44345200879
89018624,0,55115318,16621290,3920,759.2439785172563
89018624,1,55117263,16621515,45921,907.972352949335
