day,n_episode_seats,money,hands,tiles_planted,animals_total,unlocked_quadrants,plants_melon,plants_carrot,animals_cow,plants_wheat,plants_strawberry,plants_tomato,animals_sheep,animals_goose
0,662,256.0,7.0,22.0,2.0,1.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1,662,202.0,6.0,22.0,2.0,1.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2,662,148.0,6.5,22.0,2.0,1.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
3,662,130.0,7.0,19.0,2.0,1.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4,662,363.5,7.0,20.0,2.0,1.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5,662,367.0,7.0,19.0,2.0,1.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
6,662,313.0,7.0,19.0,2.0,1.0,16.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
7,662,287.0,8.0,19.0,2.0,1.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,662,430.5,8.0,19.0,2.0,1.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9,662,331.0,8.0,27.0,2.0,2.0,16.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
10,662,735.5,8.0,18.0,6.0,2.0,6.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0
11,662,2664.5,10.0,33.0,12.0,2.0,9.0,0.0,8.0,5.0,9.0,0.0,3.0,0.0
12,662,5193.5,10.0,28.0,15.5,3.0,4.0,0.0,8.0,4.5,12.0,0.0,4.0,0.0
13,662,7454.5,10.0,32.0,16.0,3.0,6.0,0.0,9.0,2.0,20.0,0.0,4.0,0.0
14,662,8517.0,10.0,36.0,16.0,3.0,7.0,0.0,10.0,2.0,20.0,0.0,4.0,0.0
15,662,9763.0,10.0,36.0,16.0,3.0,7.0,0.0,10.0,1.0,20.0,0.0,4.0,0.0
16,662,11883.5,10.0,35.0,16.0,3.0,7.0,0.0,10.0,0.0,20.0,0.0,4.0,0.0
17,662,13546.0,10.0,35.0,17.0,3.0,7.0,0.0,10.0,0.0,20.0,0.0,4.0,0.0
18,662,16713.5,10.0,36.0,17.0,3.0,7.0,0.0,10.0,0.0,20.0,0.0,4.0,0.0
19,662,19991.0,10.0,36.0,17.0,3.0,7.0,0.0,10.0,0.0,20.0,0.0,4.0,0.0
20,662,25912.5,10.0,36.0,17.0,3.0,5.0,0.0,10.0,1.0,20.0,0.0,4.0,0.0
21,662,31886.0,10.0,34.0,17.0,3.0,3.0,0.0,10.0,2.0,20.0,0.0,4.0,0.0
22,662,38542.5,10.0,32.0,17.0,3.0,1.0,0.0,10.0,3.0,20.0,0.0,4.0,0.0
23,662,43763.5,10.0,32.0,17.0,3.0,0.0,0.0,10.0,3.0,20.0,0.0,4.0,0.0
24,662,50667.5,10.0,30.0,17.0,3.0,0.0,0.0,10.0,5.0,20.0,0.0,4.0,0.0
25,662,56644.5,10.0,28.0,17.0,3.0,0.0,0.0,10.0,5.0,20.0,0.0,4.0,0.0
26,662,63794.0,10.0,25.0,17.0,3.0,0.0,0.0,10.0,3.0,20.0,0.0,4.0,0.0
27,662,69282.0,10.0,23.0,17.0,3.0,0.0,0.0,10.0,2.0,16.0,0.0,4.0,0.0
28,662,77306.0,10.0,9.0,16.0,3.0,0.0,0.0,10.0,0.0,4.0,0.0,4.0,0.0
29,662,86073.0,9.0,3.0,16.0,3.0,0.0,0.0,10.0,0.0,2.0,0.0,4.0,0.0
