episode_id,create_time,end_time,type,state,sub_0,team_0,bank_0,rating_0,sub_1,team_1,bank_1,rating_1
89004648,2026-07-30T17:10:38.210849100Z,2026-07-30T17:11:31.803458500Z,EPISODE_TYPE_VALIDATION,COMPLETED,55115318,16621290,4127,600,55115318,16621290,4127,600
89004697,2026-07-30T17:13:22.485783500Z,2026-07-30T17:15:14.925061200Z,EPISODE_TYPE_VALIDATION,COMPLETED,55115362,16621153,6296,600,55115362,16621153,6894,600
89005098,2026-07-30T17:13:38.463603200Z,2026-07-30T17:14:46.023259100Z,EPISODE_TYPE_VALIDATION,COMPLETED,55115367,16621153,664,600,55115367,16621153,470,600
89005103,2026-07-30T17:14:29.711108500Z,2026-07-30T17:15:42.391745300Z,EPISODE_TYPE_VALIDATION,COMPLETED,55115388,16621402,27698,600,55115388,16621402,27698,600
89005559,2026-07-30T17:18:55.761817200Z,2026-07-30T17:19:46.657561800Z,EPISODE_TYPE_VALIDATION,COMPLETED,55115495,16621519,2300,600,55115495,16621519,2300,600
89005564,2026-07-30T17:20:58.895283200Z,2026-07-30T17:22:09.256355Z,EPISODE_TYPE_VALIDATION,COMPLETED,55115536,16621515,23794,600,55115536,16621515,23794,600
89006005,2026-07-30T17:21:37.430773Z,2026-07-30T17:22:28.996861700Z,EPISODE_TYPE_PUBLIC,COMPLETED,55115495,16621519,2300,509.63939629899136,55115318,16621290,3846,690.3606037010086
89006016,2026-07-30T17:24:34.824978Z,2026-07-30T17:25:55.377339400Z,EPISODE_TYPE_VALIDATION,COMPLETED,55115608,16621168,40969,600,55115608,16621168,41521,600
89006021,2026-07-30T17:25:45.161413900Z,2026-07-30T17:26:32.682036300Z,EPISODE_TYPE_VALIDATION,COMPLETED,55115641,16621519,2300,600,55115641,16621519,2300,600
89006464,2026-07-30T17:29:42.271771800Z,2026-07-30T17:30:48.066209700Z,EPISODE_TYPE_PUBLIC,COMPLETED,55115608,16621168,28157,690.3606037010086,55115362,16621153,17093,509.63939629899136
89006465,2026-07-30T17:30:30.499491600Z,2026-07-30T17:31:41.786939700Z,EPISODE_TYPE_VALIDATION,COMPLETED,55115733,16621519,2423,600,55115733,16621519,1579,600
